"itemset","support","count"
"{Ethanol}",0.534366078037433,10107
"{Titanium dioxide}",0.13328751189595,2521
"{Talc}",0.0435656127736068,824
"{Butylated hydroxyanisole}",0.0210426139367664,398
"{Mineral oil - includes paraffin oil}",0.0185576821402136,351
"{Nickel}",0.0163371047901026,309
"{Lead}",0.00729618272179338,138
"{Naphthalene}",0.00660886116104473,125
"{Ethylbenzene}",0.00618589404673787,117
"{1,4-Dichlorobenzene}",0.00428254203235698,81
"{Formaldehyde}",0.00290789891085968,55
"{Cumene}",0.00280215713228296,53
"{2,4-Dichlorophenoxyacetic acid}",0.00274928624299461,52
"{Quartz-alpha (SiO2)}",0.00248493179655282,47
"{Cadmium}",0.00206196468224596,39
"{Carbaryl}",0.00190335201438088,36
"{Arsenic}",0.00179761023580417,34
"{Thiourea}",0.0013746431214973,26
"{Phenolphthalein}",0.00105741778576716,20
"{Diethanolamine}",0.0010045468964788,19
"{Vinyl acetate}",0.0010045468964788,19
"{1,4-Dioxane}",0.000898805117902083,17
"{Ethylene oxide}",0.000898805117902083,17
"{Coconut oil acid/Diethanolamine condensate (2:1)}",0.000793063339325367,15
"{Dichloromethane}",0.000528708892883578,10
"{Diuron}",0.00047583800359522,9
"{4-Methyl-2-pentanone}",0.000370096225018505,7
"{Nickel (II) oxide}",0.000317225335730147,6
"{Myrcene}",0.000264354446441789,5
"{Phenyl glycidyl ether}",0.000211483557153431,4
"{1,2-Propylene oxide}",0.000158612667865073,3
"{Asphalt, oxidized}",0.000158612667865073,3
"{Furan}",0.000158612667865073,3
"{Acetamide}",0.000105741778576716,2
"{Chlorothalonil}",0.000105741778576716,2
"{Nitrofurazone}",0.000105741778576716,2
"{Tetrachloroethylene}",0.000105741778576716,2
"{C.I. Solvent Yellow 14}",5.28708892883578e-05,1
"{Di(2-ethylhexyl) phthalate}",5.28708892883578e-05,1
