Co.occurring.Chemicals,Overall.Rank,CBageRank,RankDifference,Overall.Support,CBageSupport,Percent.SuppDifference
{Cadmium},18,13,5,0.001367029,0.002122894,0.075586515
{Arsenic},19,15,4,0.00126515,0.0020226,0.075744978
{Myrcene},27,24,3,0.000364911,0.00046804,0.010312813
{Cumene},13,10,3,0.003204552,0.002607649,-0.059690321
{Mineral oil - includes paraffin oil},6,4,2,0.014820591,0.018989035,0.416844312
{Phenolphthalein},21,19,2,0.000661286,0.001119952,0.045866563
"{1,4-Dioxane}",23,21,2,0.000646467,0.000802354,0.015588608
{Diuron},28,26,2,0.000298227,0.000367745,0.006951826
{Ethylene oxide},24,23,1,0.000568669,0.000768922,0.020025306
{Diethanolamine | Coconut oil acid/Diethanolamine condensate (2:1)},26,25,1,0.000487166,0.000451324,-0.003584216
{Lead},8,7,1,0.007800214,0.00765579,-0.014442344
{Talc},3,3,0,0.037057962,0.053640679,1.658271768
{Ethanol},1,1,0,0.516933188,0.533498262,1.65650737
{Titanium dioxide},2,2,0,0.12080977,0.129563386,0.875361594
{Vinyl acetate},20,20,0,0.00099656,0.000936079,-0.006048103
{Dichloromethane},25,25,0,0.00052977,0.000451324,-0.007844604
{4-Methyl-2-pentanone},30,30,0,0.000213019,0.000133726,-0.007929378
{Ethylbenzene},9,9,0,0.006735117,0.004947847,-0.178726987
{Quartz-alpha (SiO2)},15,16,-1,0.002534004,0.002005884,-0.052812045
{Formaldehyde},11,12,-1,0.004334481,0.002457208,-0.187727336
"{1,4-Dichlorobenzene}",10,11,-1,0.004488226,0.002490639,-0.199758638
{Naphthalene},7,8,-1,0.009400638,0.006201524,-0.31991131
{Butylated hydroxyanisole},4,5,-1,0.023419165,0.017735357,-0.568380766
{Nickel},5,6,-1,0.020247955,0.013823883,-0.642407116
{Thiourea},16,18,-2,0.002035724,0.001303825,-0.073189972
{Carbaryl},12,14,-2,0.003250861,0.002039315,-0.121154555
"{2,4-Dichlorophenoxyacetic acid}",14,17,-3,0.002800742,0.001872158,-0.092858335
{Nickel | Nickel (II) oxide},22,27,-5,0.000650172,0.000300883,-0.034928959
{Diethanolamine},17,22,-5,0.001370733,0.000785638,-0.058509549
