Co.occurring.Chemicals,Overall.Rank,HispanicRank,RankDifference,Overall.Support,HispanicSupport,Percent.SuppDifference
{4-Methyl-2-pentanone},30,25,5,0.000213019,0.000370096,0.015707685
{Diethanolamine | Coconut oil acid/Diethanolamine condensate (2:1)},26,22,4,0.000487166,0.000793063,0.030589729
{Diuron},28,24,4,0.000298227,0.000475838,0.017761088
{Cadmium},18,15,3,0.001367029,0.002061965,0.069493601
{Ethylene oxide},24,21,3,0.000568669,0.000898805,0.033013601
{Arsenic},19,17,2,0.00126515,0.00179761,0.053246039
{Phenolphthalein},21,19,2,0.000661286,0.001057418,0.039613156
"{1,4-Dioxane}",23,21,2,0.000646467,0.000898805,0.025233763
{Dichloromethane},25,23,2,0.00052977,0.000528709,-0.000106103
{Mineral oil - includes paraffin oil},6,5,1,0.014820591,0.018557682,0.373709076
{Quartz-alpha (SiO2)},15,14,1,0.002534004,0.002484932,-0.004907258
"{2,4-Dichlorophenoxyacetic acid}",14,13,1,0.002800742,0.002749286,-0.005145543
{Cumene},13,12,1,0.003204552,0.002802157,-0.040239518
{Lead},8,7,1,0.007800214,0.007296183,-0.050403104
{Ethanol},1,1,0,0.516933188,0.534366078,1.743289017
{Titanium dioxide},2,2,0,0.12080977,0.133287512,1.24777419
{Talc},3,3,0,0.037057962,0.043565613,0.650765113
{Vinyl acetate},20,20,0,0.00099656,0.001004547,0.00079867
{Myrcene},27,27,0,0.000364911,0.000264354,-0.0100557
"{1,4-Dichlorobenzene}",10,10,0,0.004488226,0.004282542,-0.020568355
{Ethylbenzene},9,9,0,0.006735117,0.006185894,-0.054922285
{Formaldehyde},11,11,0,0.004334481,0.002907899,-0.142658226
{Butylated hydroxyanisole},4,4,0,0.023419165,0.021042614,-0.237655077
{Naphthalene},7,8,-1,0.009400638,0.006608861,-0.279177642
{Nickel},5,6,-1,0.020247955,0.016337105,-0.391084976
{Thiourea},16,18,-2,0.002035724,0.001374643,-0.066108115
{Diethanolamine},17,20,-3,0.001370733,0.001004547,-0.036618646
{Nickel | Nickel (II) oxide},22,26,-4,0.000650172,0.000317225,-0.033294684
{Carbaryl},12,16,-4,0.003250861,0.001903352,-0.134750886
