Co.occurring.Chemicals,Overall.Rank,under6Rank,RankDifference,Overall.Support,under6Support,Percent.SuppDifference
{Diuron},28,18,10,0.000298227,0.000740741,0.044251362
{Myrcene},27,20,7,0.000364911,0.00042328,0.005836897
{Phenolphthalein},21,15,6,0.000661286,0.001269841,0.060855504
{Arsenic},19,13,6,0.00126515,0.001798942,0.053379195
{Dichloromethane},25,19,6,0.00052977,0.000529101,-6.69E-05
{Chlorothalonil},29,23,6,0.000244509,0.00010582,-0.013868909
{Cadmium},18,13,5,0.001367029,0.001798942,0.043191312
{Diethanolamine | Coconut oil acid/Diethanolamine condensate (2:1)},26,22,4,0.000487166,0.00021164,-0.027552583
{Ethylene oxide},24,21,3,0.000568669,0.00031746,-0.025120879
"{2,4-Dichlorophenoxyacetic acid}",14,11,3,0.002800742,0.002222222,-0.057851946
"{1,4-Dioxane}",23,21,2,0.000646467,0.00031746,-0.032900717
{Thiourea},16,14,2,0.002035724,0.001693122,-0.034260258
{Mineral oil - includes paraffin oil},6,5,1,0.014820591,0.017566138,0.274554619
{Vinyl acetate},20,19,1,0.00099656,0.000529101,-0.046745967
{Cumene},13,12,1,0.003204552,0.002010582,-0.119397031
{Lead},8,7,1,0.007800214,0.006243386,-0.155682752
{Formaldehyde},11,10,1,0.004334481,0.002751323,-0.158315842
{Talc},3,3,0,0.037057962,0.044444444,0.73864828
{Titanium dioxide},2,2,0,0.12080977,0.127195767,0.63859972
{Diethanolamine},17,17,0,0.001370733,0.001058201,-0.03125323
{Nickel | Nickel (II) oxide},22,22,0,0.000650172,0.00021164,-0.043853196
{Ethylbenzene},9,9,0,0.006735117,0.005291005,-0.14441116
{Butylated hydroxyanisole},4,4,0,0.023419165,0.021798942,-0.162022291
{Ethanol},1,1,0,0.516933188,0.515238095,-0.169509262
"{1,4-Dichlorobenzene}",10,10,0,0.004488226,0.002751323,-0.173690283
{Quartz-alpha (SiO2)},15,16,-1,0.002534004,0.001164021,-0.136998321
{Carbaryl},12,13,-1,0.003250861,0.001798942,-0.145191908
{Naphthalene},7,8,-1,0.009400638,0.005608466,-0.379217197
{Nickel},5,6,-1,0.020247955,0.012169312,-0.807864238
